year,occupation_group,occ10_title,satjob
2006,Finance-related,financial analysts,very satisfied
2006,Finance-related,financial managers,moderately satisfied
2006,Finance-related,financial managers,very satisfied
2006,CS-related,computer systems analysts,very satisfied
2006,CS-related,computer systems analysts,moderately satisfied
2006,Finance-related,financial managers,very satisfied
2006,CS-related,"software developers, applications and systems software",moderately satisfied
2006,CS-related,"software developers, applications and systems software",moderately satisfied
2006,Finance-related,personal financial advisors,very satisfied
2006,Electrician,electricians,very satisfied
2006,CS-related,computer systems analysts,very satisfied
2006,Finance-related,financial managers,very satisfied
2006,Finance-related,financial managers,very satisfied
2006,Electrician,electricians,moderately satisfied
2006,CS-related,"software developers, applications and systems software",moderately satisfied
2006,Electrician,electricians,moderately satisfied
2006,Finance-related,"securities, commodities, and financial services sales agents",very satisfied
2008,Finance-related,financial analysts,very satisfied
2008,Finance-related,personal financial advisors,moderately satisfied
2008,Finance-related,financial managers,very satisfied
2008,Finance-related,"securities, commodities, and financial services sales agents",moderately satisfied
2008,Finance-related,personal financial advisors,moderately satisfied
2008,CS-related,"software developers, applications and systems software",very satisfied
2008,CS-related,"software developers, applications and systems software",a little dissatisfied
2008,Finance-related,financial analysts,very satisfied
2008,Electrician,electricians,very satisfied
2008,CS-related,"software developers, applications and systems software",very satisfied
2008,CS-related,computer programmers,very satisfied
2008,Electrician,electricians,a little dissatisfied
2008,Finance-related,financial managers,moderately satisfied
2008,CS-related,computer systems analysts,very satisfied
2008,CS-related,"software developers, applications and systems software",moderately satisfied
2008,CS-related,computer programmers,very satisfied
2008,Finance-related,financial managers,very satisfied
2008,Finance-related,financial managers,very satisfied
2008,CS-related,computer programmers,very satisfied
2008,CS-related,computer programmers,very satisfied
2008,CS-related,computer systems analysts,very satisfied
2008,CS-related,computer systems analysts,very satisfied
2008,CS-related,"software developers, applications and systems software",very satisfied
2008,CS-related,computer systems analysts,very satisfied
2008,Finance-related,financial managers,a little dissatisfied
2008,CS-related,"software developers, applications and systems software",very satisfied
2008,Finance-related,financial managers,very satisfied
2008,Finance-related,personal financial advisors,very satisfied
2008,Finance-related,financial managers,very satisfied
2008,CS-related,"software developers, applications and systems software",very satisfied
2008,Finance-related,financial managers,very satisfied
2008,CS-related,computer systems analysts,very satisfied
2008,CS-related,"software developers, applications and systems software",moderately satisfied
2008,CS-related,computer programmers,moderately satisfied
2008,CS-related,computer programmers,moderately satisfied
2008,Finance-related,financial managers,moderately satisfied
2008,Finance-related,personal financial advisors,moderately satisfied
2008,Finance-related,"securities, commodities, and financial services sales agents",very satisfied
2008,Finance-related,financial managers,moderately satisfied
2008,CS-related,computer programmers,moderately satisfied
2008,Finance-related,financial managers,moderately satisfied
2008,Electrician,electricians,very satisfied
2008,CS-related,"software developers, applications and systems software",moderately satisfied
2008,CS-related,"software developers, applications and systems software",moderately satisfied
2008,Electrician,electricians,very satisfied
2008,CS-related,"software developers, applications and systems software",moderately satisfied
2008,CS-related,"software developers, applications and systems software",very satisfied
2008,CS-related,"software developers, applications and systems software",very satisfied
2010,Finance-related,financial managers,moderately satisfied
2010,Electrician,electricians,moderately satisfied
2010,Finance-related,personal financial advisors,moderately satisfied
2010,Finance-related,financial managers,a little dissatisfied
2010,CS-related,"software developers, applications and systems software",moderately satisfied
2010,Finance-related,financial managers,very satisfied
2010,Finance-related,financial managers,very satisfied
2010,Finance-related,personal financial advisors,very satisfied
2010,Finance-related,personal financial advisors,very satisfied
2010,Electrician,electricians,very satisfied
2010,Electrician,electricians,very satisfied
2010,CS-related,computer systems analysts,moderately satisfied
2010,Finance-related,personal financial advisors,very satisfied
2010,Finance-related,"securities, commodities, and financial services sales agents",very satisfied
2010,CS-related,"software developers, applications and systems software",a little dissatisfied
2010,Finance-related,financial managers,very satisfied
2010,Finance-related,financial managers,moderately satisfied
2010,Finance-related,personal financial advisors,very satisfied
2010,Finance-related,personal financial advisors,moderately satisfied
2010,CS-related,computer programmers,very satisfied
2010,Finance-related,financial managers,moderately satisfied
2010,CS-related,"software developers, applications and systems software",very satisfied
2010,Finance-related,personal financial advisors,very satisfied
2010,CS-related,"software developers, applications and systems software",moderately satisfied
2010,Finance-related,financial managers,very satisfied
2010,CS-related,"software developers, applications and systems software",moderately satisfied
2010,Electrician,electricians,moderately satisfied
2010,CS-related,"software developers, applications and systems software",moderately satisfied
2010,Electrician,electricians,very satisfied
2010,Finance-related,financial managers,moderately satisfied
2010,Finance-related,financial managers,moderately satisfied
2010,CS-related,computer systems analysts,moderately satisfied
2010,Finance-related,financial managers,very satisfied
2010,CS-related,computer systems analysts,moderately satisfied
2010,CS-related,computer programmers,very satisfied
2010,CS-related,"software developers, applications and systems software",moderately satisfied
2010,CS-related,"software developers, applications and systems software",moderately satisfied
2012,CS-related,"software developers, applications and systems software",moderately satisfied
2012,Finance-related,"securities, commodities, and financial services sales agents",very satisfied
2012,CS-related,computer programmers,moderately satisfied
2012,CS-related,computer systems analysts,very satisfied
2012,CS-related,"software developers, applications and systems software",very satisfied
2012,CS-related,computer systems analysts,very satisfied
2012,Finance-related,personal financial advisors,moderately satisfied
2012,CS-related,"software developers, applications and systems software",moderately satisfied
2012,Finance-related,"securities, commodities, and financial services sales agents",very satisfied
2012,CS-related,"software developers, applications and systems software",very satisfied
2012,CS-related,computer systems analysts,very satisfied
2012,CS-related,"software developers, applications and systems software",very satisfied
2012,Finance-related,financial managers,very satisfied
2012,CS-related,"software developers, applications and systems software",moderately satisfied
2012,CS-related,computer programmers,very dissatisfied
2012,CS-related,"software developers, applications and systems software",moderately satisfied
2012,Finance-related,financial managers,moderately satisfied
2012,CS-related,computer systems analysts,moderately satisfied
2012,CS-related,"software developers, applications and systems software",very satisfied
2012,CS-related,"software developers, applications and systems software",very satisfied
2012,Finance-related,financial managers,very satisfied
2012,Electrician,electricians,very satisfied
2012,CS-related,computer programmers,moderately satisfied
2012,CS-related,"software developers, applications and systems software",very satisfied
2012,Finance-related,financial managers,very satisfied
2012,CS-related,"software developers, applications and systems software",moderately satisfied
2012,CS-related,computer systems analysts,very satisfied
2012,CS-related,computer systems analysts,very satisfied
2012,Electrician,electricians,very satisfied
2012,Finance-related,financial managers,very satisfied
2012,Finance-related,financial managers,moderately satisfied
2012,CS-related,"software developers, applications and systems software",very satisfied
2012,Finance-related,financial managers,very satisfied
2012,Finance-related,financial managers,very satisfied
2012,CS-related,"software developers, applications and systems software",very satisfied
2012,Finance-related,financial managers,very satisfied
2012,CS-related,computer programmers,moderately satisfied
2012,Finance-related,financial analysts,very satisfied
2012,Electrician,electricians,moderately satisfied
2012,CS-related,computer systems analysts,moderately satisfied
2012,CS-related,"software developers, applications and systems software",moderately satisfied
2012,Electrician,electricians,very dissatisfied
2014,Finance-related,financial managers,moderately satisfied
2014,Finance-related,"securities, commodities, and financial services sales agents",very satisfied
2014,CS-related,"software developers, applications and systems software",very satisfied
2014,Finance-related,personal financial advisors,very satisfied
2014,Finance-related,personal financial advisors,very satisfied
2014,CS-related,computer programmers,a little dissatisfied
2014,Electrician,electricians,moderately satisfied
2014,Finance-related,"securities, commodities, and financial services sales agents",very satisfied
2014,Finance-related,financial managers,very satisfied
2014,Finance-related,financial managers,very satisfied
2014,Finance-related,financial managers,very satisfied
2014,Finance-related,personal financial advisors,a little dissatisfied
2014,CS-related,"software developers, applications and systems software",very satisfied
2014,CS-related,computer programmers,moderately satisfied
2014,Finance-related,financial managers,moderately satisfied
2014,Electrician,electricians,moderately satisfied
2014,CS-related,"software developers, applications and systems software",moderately satisfied
2014,Electrician,electricians,moderately satisfied
2014,Finance-related,financial managers,moderately satisfied
2014,Finance-related,financial managers,very satisfied
2014,Finance-related,financial analysts,moderately satisfied
2014,CS-related,"software developers, applications and systems software",moderately satisfied
2014,CS-related,computer systems analysts,very satisfied
2014,Electrician,electricians,very satisfied
2014,Finance-related,financial managers,very satisfied
2014,CS-related,computer programmers,moderately satisfied
2014,Finance-related,financial managers,very satisfied
2014,Electrician,electricians,moderately satisfied
2014,Finance-related,financial managers,very satisfied
2014,CS-related,"software developers, applications and systems software",moderately satisfied
2014,CS-related,"software developers, applications and systems software",moderately satisfied
2014,CS-related,computer systems analysts,very satisfied
2014,Finance-related,financial managers,very satisfied
2014,Finance-related,financial analysts,very satisfied
2014,CS-related,computer programmers,a little dissatisfied
2014,Finance-related,financial analysts,moderately satisfied
2014,Finance-related,financial managers,a little dissatisfied
2014,Finance-related,financial managers,a little dissatisfied
2014,CS-related,"software developers, applications and systems software",a little dissatisfied
2014,Finance-related,financial managers,very satisfied
2014,Finance-related,financial managers,very satisfied
2014,CS-related,computer systems analysts,moderately satisfied
2014,CS-related,computer systems analysts,very satisfied
2014,CS-related,"software developers, applications and systems software",moderately satisfied
2014,CS-related,"software developers, applications and systems software",very satisfied
2014,CS-related,"software developers, applications and systems software",moderately satisfied
2014,Finance-related,financial managers,very satisfied
2014,Finance-related,financial managers,very satisfied
2014,Electrician,electricians,very satisfied
2014,Finance-related,financial managers,very satisfied
2014,Finance-related,personal financial advisors,very satisfied
2014,CS-related,"software developers, applications and systems software",moderately satisfied
2014,Electrician,electricians,very satisfied
2014,Finance-related,financial managers,very satisfied
2014,Electrician,electricians,very satisfied
2014,CS-related,"software developers, applications and systems software",moderately satisfied
2014,Finance-related,financial managers,moderately satisfied
2014,Finance-related,financial managers,moderately satisfied
2014,CS-related,"software developers, applications and systems software",very satisfied
2016,CS-related,"software developers, applications and systems software",moderately satisfied
2016,CS-related,computer systems analysts,moderately satisfied
2016,Finance-related,financial analysts,very dissatisfied
2016,Electrician,electricians,moderately satisfied
2016,Finance-related,financial managers,very satisfied
2016,CS-related,"software developers, applications and systems software",very satisfied
2016,CS-related,"software developers, applications and systems software",moderately satisfied
2016,Finance-related,"securities, commodities, and financial services sales agents",very satisfied
2016,CS-related,computer systems analysts,very satisfied
2016,Finance-related,"securities, commodities, and financial services sales agents",very satisfied
2016,CS-related,"software developers, applications and systems software",very satisfied
2016,Finance-related,financial managers,moderately satisfied
2016,Finance-related,financial analysts,very satisfied
2016,CS-related,computer systems analysts,moderately satisfied
2016,Finance-related,financial managers,moderately satisfied
2016,CS-related,"software developers, applications and systems software",moderately satisfied
2016,Finance-related,personal financial advisors,very satisfied
2016,CS-related,computer systems analysts,very satisfied
2016,CS-related,computer systems analysts,moderately satisfied
2016,Electrician,electricians,very satisfied
2016,CS-related,computer systems analysts,very satisfied
2016,Finance-related,financial managers,very satisfied
2016,CS-related,"software developers, applications and systems software",moderately satisfied
2016,CS-related,"software developers, applications and systems software",very satisfied
2016,CS-related,computer programmers,moderately satisfied
2016,Electrician,electricians,very satisfied
2016,CS-related,"software developers, applications and systems software",very satisfied
2016,CS-related,"software developers, applications and systems software",moderately satisfied
2016,Electrician,electricians,very satisfied
2016,CS-related,"software developers, applications and systems software",very satisfied
2016,Finance-related,financial managers,moderately satisfied
2016,Electrician,electricians,moderately satisfied
2016,CS-related,computer systems analysts,moderately satisfied
2016,Electrician,electricians,very satisfied
2016,Finance-related,financial managers,moderately satisfied
2016,Finance-related,financial managers,very satisfied
2016,CS-related,computer systems analysts,very satisfied
2016,CS-related,computer systems analysts,very satisfied
2016,CS-related,computer programmers,moderately satisfied
2016,CS-related,computer systems analysts,moderately satisfied
2016,Finance-related,financial managers,very satisfied
2016,CS-related,"software developers, applications and systems software",very satisfied
2016,CS-related,"software developers, applications and systems software",moderately satisfied
2016,Finance-related,financial managers,very dissatisfied
2016,CS-related,computer programmers,moderately satisfied
2016,CS-related,"software developers, applications and systems software",very satisfied
2016,Electrician,electricians,very satisfied
2018,CS-related,"software developers, applications and systems software",very satisfied
2018,CS-related,computer systems analysts,a little dissatisfied
2018,CS-related,"software developers, applications and systems software",very satisfied
2018,Finance-related,"securities, commodities, and financial services sales agents",moderately satisfied
2018,CS-related,computer programmers,moderately satisfied
2018,CS-related,computer programmers,a little dissatisfied
2018,Finance-related,financial managers,moderately satisfied
2018,Finance-related,financial managers,very satisfied
2018,CS-related,computer systems analysts,a little dissatisfied
2018,Electrician,electricians,very satisfied
2018,CS-related,computer systems analysts,very satisfied
2018,CS-related,"software developers, applications and systems software",moderately satisfied
2018,CS-related,computer systems analysts,moderately satisfied
2018,CS-related,computer systems analysts,moderately satisfied
2018,CS-related,computer systems analysts,a little dissatisfied
2018,Finance-related,personal financial advisors,very satisfied
2018,Finance-related,financial analysts,moderately satisfied
2018,Finance-related,financial managers,moderately satisfied
2018,Finance-related,personal financial advisors,very satisfied
2018,CS-related,computer systems analysts,very satisfied
2018,Finance-related,personal financial advisors,very satisfied
2018,Finance-related,financial managers,very satisfied
2018,CS-related,"software developers, applications and systems software",very satisfied
2018,Finance-related,financial managers,very satisfied
2018,CS-related,computer systems analysts,very satisfied
2018,Finance-related,personal financial advisors,moderately satisfied
2018,Finance-related,personal financial advisors,very satisfied
2018,CS-related,"software developers, applications and systems software",very satisfied
2018,CS-related,"software developers, applications and systems software",moderately satisfied
2018,Finance-related,financial managers,very satisfied
2018,CS-related,computer systems analysts,moderately satisfied
2018,CS-related,computer programmers,moderately satisfied
2018,Finance-related,personal financial advisors,very satisfied
2018,Finance-related,personal financial advisors,very satisfied
2018,Finance-related,"securities, commodities, and financial services sales agents",moderately satisfied
2018,CS-related,"software developers, applications and systems software",very satisfied
2018,Finance-related,financial managers,moderately satisfied
2018,CS-related,"software developers, applications and systems software",very satisfied
2018,Electrician,electricians,moderately satisfied
2018,Finance-related,financial managers,a little dissatisfied
2018,Finance-related,financial analysts,very satisfied
2018,Electrician,electricians,very satisfied
2018,Electrician,electricians,moderately satisfied
2018,Finance-related,financial managers,very satisfied
2018,Finance-related,"securities, commodities, and financial services sales agents",very dissatisfied
2018,Electrician,electricians,moderately satisfied
2018,Finance-related,personal financial advisors,moderately satisfied
2018,Finance-related,financial managers,very satisfied
2018,CS-related,"software developers, applications and systems software",very satisfied
2018,Electrician,electricians,very satisfied
2018,Finance-related,financial managers,moderately satisfied
2018,Finance-related,"securities, commodities, and financial services sales agents",very satisfied
2018,Finance-related,financial managers,moderately satisfied
2018,Finance-related,financial managers,moderately satisfied
2018,Electrician,electricians,very satisfied
2018,Electrician,electricians,very satisfied
2018,CS-related,"software developers, applications and systems software",a little dissatisfied
2018,CS-related,computer programmers,moderately satisfied
2018,Finance-related,financial managers,very satisfied
2021,CS-related,"software developers, applications and systems software",very satisfied
2021,CS-related,computer systems analysts,moderately satisfied
2021,CS-related,computer programmers,moderately satisfied
2021,Finance-related,personal financial advisors,moderately satisfied
2021,CS-related,computer programmers,moderately satisfied
2021,Finance-related,personal financial advisors,a little dissatisfied
2021,CS-related,"software developers, applications and systems software",moderately satisfied
2021,CS-related,"software developers, applications and systems software",moderately satisfied
2021,Finance-related,"securities, commodities, and financial services sales agents",very satisfied
2021,CS-related,"software developers, applications and systems software",moderately satisfied
2021,CS-related,"software developers, applications and systems software",a little dissatisfied
2021,CS-related,computer systems analysts,a little dissatisfied
2021,Finance-related,financial managers,very satisfied
2021,Finance-related,financial managers,very satisfied
2021,Electrician,electricians,very satisfied
2021,Finance-related,"securities, commodities, and financial services sales agents",moderately satisfied
2021,CS-related,computer systems analysts,very satisfied
2021,CS-related,"software developers, applications and systems software",very satisfied
2021,CS-related,"software developers, applications and systems software",a little dissatisfied
2021,CS-related,"software developers, applications and systems software",moderately satisfied
2021,CS-related,"software developers, applications and systems software",very satisfied
2021,Finance-related,financial managers,moderately satisfied
2021,Finance-related,financial managers,a little dissatisfied
2021,Finance-related,financial managers,very satisfied
2021,Finance-related,"securities, commodities, and financial services sales agents",very dissatisfied
2021,Electrician,electricians,moderately satisfied
2021,CS-related,"software developers, applications and systems software",a little dissatisfied
2021,Finance-related,financial managers,moderately satisfied
2021,Finance-related,financial analysts,very satisfied
2021,Finance-related,financial managers,very satisfied
2021,CS-related,"software developers, applications and systems software",moderately satisfied
2021,CS-related,"software developers, applications and systems software",very satisfied
2021,Finance-related,financial managers,moderately satisfied
2021,Finance-related,financial managers,moderately satisfied
2021,CS-related,"software developers, applications and systems software",very satisfied
2021,Finance-related,personal financial advisors,a little dissatisfied
2021,Finance-related,financial managers,a little dissatisfied
2021,CS-related,"software developers, applications and systems software",moderately satisfied
2021,CS-related,"software developers, applications and systems software",very satisfied
2021,Finance-related,"securities, commodities, and financial services sales agents",very satisfied
2021,Finance-related,"securities, commodities, and financial services sales agents",a little dissatisfied
2021,CS-related,computer programmers,very satisfied
2021,Finance-related,financial managers,very satisfied
2021,Finance-related,financial managers,very satisfied
2021,Finance-related,financial analysts,very satisfied
2021,CS-related,"software developers, applications and systems software",moderately satisfied
2021,CS-related,"software developers, applications and systems software",very satisfied
2021,CS-related,computer systems analysts,a little dissatisfied
2021,Finance-related,financial managers,moderately satisfied
2021,CS-related,computer systems analysts,moderately satisfied
2021,Finance-related,financial managers,very satisfied
2021,Finance-related,financial managers,a little dissatisfied
2021,CS-related,"software developers, applications and systems software",very satisfied
2021,Finance-related,financial managers,moderately satisfied
2021,Finance-related,financial managers,moderately satisfied
2021,Electrician,electricians,very satisfied
2021,CS-related,"software developers, applications and systems software",very satisfied
2021,Finance-related,financial managers,very satisfied
2021,Electrician,electricians,moderately satisfied
2021,Finance-related,financial managers,very satisfied
2021,CS-related,"software developers, applications and systems software",moderately satisfied
2021,CS-related,"software developers, applications and systems software",very satisfied
2021,CS-related,"software developers, applications and systems software",very satisfied
2021,CS-related,"software developers, applications and systems software",moderately satisfied
2021,CS-related,"software developers, applications and systems software",very dissatisfied
2021,Finance-related,financial managers,very satisfied
2021,CS-related,computer systems analysts,very satisfied
2021,CS-related,"software developers, applications and systems software",very satisfied
2021,CS-related,"software developers, applications and systems software",moderately satisfied
2021,CS-related,computer systems analysts,a little dissatisfied
2021,Electrician,electricians,moderately satisfied
2021,Finance-related,financial managers,moderately satisfied
2021,Finance-related,personal financial advisors,moderately satisfied
2021,Electrician,electricians,very satisfied
2021,CS-related,computer programmers,moderately satisfied
2021,CS-related,"software developers, applications and systems software",moderately satisfied
2021,CS-related,"software developers, applications and systems software",very satisfied
2021,Finance-related,"securities, commodities, and financial services sales agents",very satisfied
2021,CS-related,"software developers, applications and systems software",very satisfied
2021,Finance-related,personal financial advisors,very satisfied
2021,CS-related,computer programmers,moderately satisfied
2021,Finance-related,financial managers,moderately satisfied
2021,CS-related,computer systems analysts,moderately satisfied
2021,Finance-related,financial managers,very satisfied
2021,Finance-related,financial managers,moderately satisfied
2021,CS-related,computer systems analysts,very satisfied
2021,Finance-related,financial analysts,very satisfied
2021,Finance-related,financial managers,a little dissatisfied
2021,CS-related,"software developers, applications and systems software",moderately satisfied
2021,CS-related,"software developers, applications and systems software",a little dissatisfied
2021,CS-related,computer systems analysts,very satisfied
2021,CS-related,"software developers, applications and systems software",moderately satisfied
2021,CS-related,"software developers, applications and systems software",moderately satisfied
2021,CS-related,computer systems analysts,moderately satisfied
2021,CS-related,"software developers, applications and systems software",very satisfied
2021,CS-related,computer programmers,moderately satisfied
2021,CS-related,"software developers, applications and systems software",moderately satisfied
2021,Finance-related,financial managers,very satisfied
2021,Finance-related,personal financial advisors,very satisfied
2021,Finance-related,financial managers,very satisfied
2021,Finance-related,financial managers,moderately satisfied
2021,Finance-related,financial managers,moderately satisfied
2021,Finance-related,financial managers,moderately satisfied
2021,Finance-related,financial managers,very satisfied
2021,CS-related,"software developers, applications and systems software",moderately satisfied
2021,CS-related,computer programmers,moderately satisfied
2021,CS-related,computer systems analysts,very satisfied
2021,CS-related,computer systems analysts,very satisfied
2021,CS-related,"software developers, applications and systems software",moderately satisfied
2021,CS-related,computer systems analysts,moderately satisfied
2021,CS-related,"software developers, applications and systems software",moderately satisfied
2021,CS-related,computer systems analysts,very satisfied
2021,CS-related,computer programmers,moderately satisfied
2021,CS-related,computer programmers,very satisfied
2021,CS-related,"software developers, applications and systems software",moderately satisfied
2021,CS-related,"software developers, applications and systems software",moderately satisfied
2021,CS-related,computer systems analysts,a little dissatisfied
2021,Finance-related,financial managers,a little dissatisfied
2022,Finance-related,financial managers,very satisfied
2022,CS-related,"software developers, applications and systems software",moderately satisfied
2022,CS-related,computer systems analysts,very satisfied
2022,CS-related,computer systems analysts,moderately satisfied
2022,Finance-related,financial managers,very satisfied
2022,Finance-related,financial analysts,very satisfied
2022,Finance-related,personal financial advisors,very satisfied
2022,CS-related,computer programmers,moderately satisfied
2022,Electrician,electricians,moderately satisfied
2022,CS-related,"software developers, applications and systems software",moderately satisfied
2022,CS-related,"software developers, applications and systems software",moderately satisfied
2022,Electrician,electricians,very satisfied
2022,Finance-related,financial managers,moderately satisfied
2022,CS-related,"software developers, applications and systems software",very satisfied
2022,CS-related,computer systems analysts,very satisfied
2022,CS-related,"software developers, applications and systems software",moderately satisfied
2022,Finance-related,financial managers,very satisfied
2022,CS-related,"software developers, applications and systems software",moderately satisfied
2022,CS-related,"software developers, applications and systems software",very satisfied
2022,CS-related,"software developers, applications and systems software",very satisfied
2022,CS-related,"software developers, applications and systems software",a little dissatisfied
2022,Finance-related,financial managers,moderately satisfied
2022,Finance-related,personal financial advisors,very satisfied
2022,CS-related,"software developers, applications and systems software",moderately satisfied
2022,CS-related,computer systems analysts,moderately satisfied
2022,Finance-related,financial managers,a little dissatisfied
2022,CS-related,"software developers, applications and systems software",very satisfied
2022,Finance-related,financial managers,moderately satisfied
2022,CS-related,"software developers, applications and systems software",very satisfied
2022,Electrician,electricians,very satisfied
